sku,slug,title_en,title_zh,category,productType,canonicalGroupId,imageStatus,dataStatus,mainImageAssetId,assetExactness,assetPermission,productLink,sourceDomain,sourceNotes
KH-KR-KRAFT-080-RAW-001,kh-kr-kraft-080-raw-001-single-sided-kraft-paper,Single-sided Kraft Paper,单面牛皮纸,牛皮纸系列,kraft-paper,kraft-paper-kraft-paper-80g-pe-coating,representative,pending-source,kh-kraft-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-KR-KRAFT-120-RAW-002,kh-kr-kraft-120-raw-002-double-sided-kraft-paper,Double-sided Kraft Paper,双面牛皮纸,牛皮纸系列,kraft-paper,kraft-paper-kraft-paper-120g-pe-coating,representative,pending-source,kh-kraft-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-KR-WKRAFT-150-PR-003,kh-kr-wkraft-150-pr-003-white-kraft-paper,White Kraft Paper,白牛皮纸,牛皮纸系列,kraft-paper,kraft-paper-white-kraft-150g-pe-coating,representative,pending-source,kh-kraft-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-KR-YKRAFT-180-PR-004,kh-kr-ykraft-180-pr-004-yellow-kraft-paper,Yellow Kraft Paper,黄牛皮纸,牛皮纸系列,kraft-paper,kraft-paper-yellow-kraft-180g-pe-coating,representative,pending-source,kh-kraft-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-KR-FOODK-100-OIL-005,kh-kr-foodk-100-oil-005-food-grade-kraft-paper,Food Grade Kraft Paper,食品级牛皮纸,牛皮纸系列,kraft-paper,kraft-paper-food-grade-kraft-100g-pe-coating,representative,pending-source,kh-kraft-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-KR-PEKRAFT-120-PE-006,kh-kr-pekraft-120-pe-006-pe-coated-kraft-paper,PE Coated Kraft Paper,淋膜牛皮纸,牛皮纸系列,kraft-paper,kraft-paper-pe-120g-pe-pe-coating-pe,representative,pending-source,kh-kraft-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-KR-OILK-80-OIL-007,kh-kr-oilk-80-oil-007-greaseproof-kraft-paper,Greaseproof Kraft Paper,防油牛皮纸,牛皮纸系列,kraft-paper,kraft-paper-80g-pe-coating,representative,pending-source,kh-kraft-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-KR-PRKRAFT-200-PR-008,kh-kr-prkraft-200-pr-008-printed-kraft-paper,Printed Kraft Paper,印刷牛皮纸,牛皮纸系列,kraft-paper,kraft-paper-200g-pe-coating,representative,pending-source,kh-kraft-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-KR-KCARDB-300-MC-009,kh-kr-kcardb-300-mc-009-kraft-cardstock,Kraft Cardstock,牛皮纸卡,牛皮纸系列,paper-pad,paper-pad-kraft-cardstock-300g,representative,pending-source,kh-paper-pad-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
KH-KR-KFLUTE-250E-MT-010,kh-kr-kflute-250e-mt-010-kraft-laminated-corrugated-paper,Kraft Laminated Corrugated Paper,牛皮瓦楞复合纸,牛皮纸系列,paper-insert,paper-insert-250g-e-f-g-pe-coating,representative,pending-source,kh-paper-insert-family-representative,representative,approved,,,No productLink in source catalog; source confirmation required.
