sku,productType,canonicalGroupId,imageStatus,requestedImageStatus,mainImageAssetId,dataStatus,hasProductLink,productLink,titleEn,material,gsmOrThickness,applications
"KH-KR-KRAFT-080-RAW-001","kraft-paper","kraft-paper-kraft-paper-80g-pe-coating","representative","representative","kh-kraft-family-representative","pending-source","false","","Single-sided Kraft Paper","单面牛皮纸 / Kraft paper","80g","包装纸、隔纸、纸袋"
"KH-KR-KRAFT-120-RAW-002","kraft-paper","kraft-paper-kraft-paper-120g-pe-coating","representative","representative","kh-kraft-family-representative","pending-source","false","","Double-sided Kraft Paper","双面牛皮纸 / Kraft paper","120g","包装纸、纸袋、盒料"
"KH-KR-WKRAFT-150-PR-003","kraft-paper","kraft-paper-white-kraft-150g-pe-coating","representative","representative","kh-kraft-family-representative","pending-source","false","","White Kraft Paper","白牛皮纸 / White kraft","150g","纸袋、纸盒面纸"
"KH-KR-YKRAFT-180-PR-004","kraft-paper","kraft-paper-yellow-kraft-180g-pe-coating","representative","representative","kh-kraft-family-representative","pending-source","false","","Yellow Kraft Paper","黄牛皮纸 / Yellow kraft","180g","纸袋、外包装、隔板"
"KH-KR-FOODK-100-OIL-005","kraft-paper","kraft-paper-food-grade-kraft-100g-pe-coating","representative","representative","kh-kraft-family-representative","pending-source","false","","Food Grade Kraft Paper","食品级牛皮纸 / Food grade kraft","100g","汉堡纸、包装纸、食品盒料"
"KH-KR-PEKRAFT-120-PE-006","kraft-paper","kraft-paper-pe-120g-pe-pe-coating-pe","representative","representative","kh-kraft-family-representative","pending-source","false","","PE Coated Kraft Paper","牛皮纸 + PE 淋膜","120g + PE","食品包装、纸托、纸袋"
"KH-KR-OILK-80-OIL-007","kraft-paper","kraft-paper-80g-pe-coating","representative","representative","kh-kraft-family-representative","pending-source","false","","Greaseproof Kraft Paper","防油牛皮纸","80g","汉堡纸、三明治纸、垫纸"
"KH-KR-PRKRAFT-200-PR-008","kraft-paper","kraft-paper-200g-pe-coating","representative","representative","kh-kraft-family-representative","pending-source","false","","Printed Kraft Paper","牛皮纸","200g","纸盒面纸、品牌包装"
"KH-KR-KCARDB-300-MC-009","paper-pad","paper-pad-kraft-cardstock-300g","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Kraft Cardstock","牛卡纸 / Kraft cardstock","300g","纸卡、垫片、盒料"
"KH-KR-KFLUTE-250E-MT-010","paper-insert","paper-insert-250g-e-f-g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Kraft Laminated Corrugated Paper","牛皮纸 + 瓦楞芯纸","250g + E/F/G","坑盒、内托、缓冲包装"
"KH-WC-WHITE-210-PR-011","paper-pad","paper-pad-white-cardboard-210g","representative","representative","kh-paper-pad-family-representative","pending-source","false","","White Cardboard","白卡纸 / White cardboard","210g","彩盒、垫片、吊牌"
"KH-WC-FOODW-230-OIL-012","paper-pad","paper-pad-230g-greaseproof","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Food Grade White Cardboard","食品级白卡纸","230g","食品盒、托盘、垫片"
"KH-WC-SBS1-250-PR-013","white-cardboard","white-cardboard-250g-coated","representative","representative","kh-white-cardboard-family-representative","pending-source","false","","Single-side Coated White Board","单铜白卡","250g","彩盒面纸、包装盒"
"KH-WC-SBS2-300-LM-014","white-cardboard","white-cardboard-300g-coated","representative","representative","kh-white-cardboard-family-representative","pending-source","false","","Double-side Coated White Board","双铜白卡","300g","彩盒、吊牌、卡套"
"KH-WC-BOXMAT-350-CR-015","white-cardboard","white-cardboard-350g","representative","representative","kh-white-cardboard-family-representative","pending-source","false","","White Cardboard Box Material","白卡纸","350g","折叠盒、彩盒半成品"
"KH-WC-PAD-400-MC-016","paper-pad","paper-pad-400g","representative","representative","kh-paper-pad-family-representative","pending-source","false","","White Cardboard Pad","白卡纸","400g","蛋糕垫片、内垫、隔板"
"KH-WC-INSERT-450-MC-017","paper-insert","paper-insert-450g","representative","representative","kh-paper-insert-family-representative","pending-source","false","","White Cardboard Insert","白卡纸","450g","内托、定位托、隔板"
"KH-WC-WFLUTE-300E-MT-018","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-300g-e-f-g-pe-coating","representative","representative","kh-corrugated-family-representative","pending-source","false","","White Cardboard Laminated Corrugated Paper","白卡 + E/F/G 坑","300g + E/F/G","坑盒、缓冲盒片"
"KH-WC-PRINTW-350-UV-019","white-cardboard","white-cardboard-350g-uv","representative","representative","kh-white-cardboard-family-representative","pending-source","false","","Printed White Cardboard","白卡纸","350g","彩盒面纸、礼盒纸料"
"KH-WC-PEWHITE-300-PE-020","white-cardboard","white-cardboard-pe-300g-pe-pe-coating-pe","representative","representative","kh-white-cardboard-family-representative","pending-source","false","","PE Coated White Cardboard","白卡纸 + PE 淋膜","300g + PE","食品盒料、托盘纸料"
"KH-FD-FOODW-210-RAW-021","white-cardboard","white-cardboard-210g","representative","representative","kh-white-cardboard-family-representative","pending-source","false","","Food Grade White Cardboard","食品级白卡纸","210g","食品盒、托盘、纸套"
"KH-FD-FOODK-120-RAW-022","kraft-paper","kraft-paper-120g-pe-coating","representative","representative","kh-kraft-family-representative","pending-source","false","","Food Grade Kraft Paper","食品级牛皮纸","120g","汉堡纸、包装纸、纸袋"
"KH-FD-GREASE-040-OIL-023","paper-packaging-material","paper-packaging-material-40g-pe-coating","representative","representative","kh-material-family-representative","pending-source","false","","Greaseproof Paper","防油纸","40g","垫纸、包纸、烘焙纸"
"KH-FD-BURGER-050-PR-024","paper-packaging-material","paper-packaging-material-50g-pe-coating","representative","representative","kh-material-family-representative","pending-source","false","","Burger Wrapping Paper","食品级纸","50g","汉堡、三明治、炸物"
"KH-FD-SANDW-060-PR-025","paper-packaging-material","paper-packaging-material-60g-pe-coating","representative","representative","kh-material-family-representative","pending-source","false","","Sandwich Wrapping Paper","食品级纸","60g","三明治、卷饼、面包"
