sku,title,missingFields,sourceStatus,imageMappingStatus,currentImage,requiredAction
"KH-KR-KRAFT-080-RAW-001","Single-sided Kraft Paper","sourceStatus","pending","representative","kh-kraft-family-representative","Confirm sourceStatus and image mapping"
"KH-KR-KRAFT-120-RAW-002","Double-sided Kraft Paper","sourceStatus","pending","representative","kh-kraft-family-representative","Confirm sourceStatus and image mapping"
"KH-KR-WKRAFT-150-PR-003","White Kraft Paper","sourceStatus","pending","representative","kh-kraft-family-representative","Confirm sourceStatus and image mapping"
"KH-KR-YKRAFT-180-PR-004","Yellow Kraft Paper","sourceStatus","pending","representative","kh-kraft-family-representative","Confirm sourceStatus and image mapping"
"KH-KR-FOODK-100-OIL-005","Food Grade Kraft Paper","sourceStatus","pending","representative","kh-kraft-family-representative","Confirm sourceStatus and image mapping"
"KH-KR-PEKRAFT-120-PE-006","PE Coated Kraft Paper","sourceStatus","pending","representative","kh-kraft-family-representative","Confirm sourceStatus and image mapping"
"KH-KR-OILK-80-OIL-007","Greaseproof Kraft Paper","sourceStatus","pending","representative","kh-kraft-family-representative","Confirm sourceStatus and image mapping"
"KH-KR-PRKRAFT-200-PR-008","Printed Kraft Paper","sourceStatus","pending","representative","kh-kraft-family-representative","Confirm sourceStatus and image mapping"
"KH-KR-KCARDB-300-MC-009","Kraft Cardstock","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-KR-KFLUTE-250E-MT-010","Kraft Laminated Corrugated Paper","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-WC-WHITE-210-PR-011","White Cardboard","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-WC-FOODW-230-OIL-012","Food Grade White Cardboard","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-WC-SBS1-250-PR-013","Single-side Coated White Board","sourceStatus","pending","representative","kh-white-cardboard-family-representative","Confirm sourceStatus and image mapping"
"KH-WC-SBS2-300-LM-014","Double-side Coated White Board","sourceStatus","pending","representative","kh-white-cardboard-family-representative","Confirm sourceStatus and image mapping"
"KH-WC-BOXMAT-350-CR-015","White Cardboard Box Material","sourceStatus","pending","representative","kh-white-cardboard-family-representative","Confirm sourceStatus and image mapping"
"KH-WC-PAD-400-MC-016","White Cardboard Pad","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-WC-INSERT-450-MC-017","White Cardboard Insert","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
"KH-WC-WFLUTE-300E-MT-018","White Cardboard Laminated Corrugated Paper","sourceStatus","pending","representative","kh-corrugated-family-representative","Confirm sourceStatus and image mapping"
"KH-WC-PRINTW-350-UV-019","Printed White Cardboard","sourceStatus","pending","representative","kh-white-cardboard-family-representative","Confirm sourceStatus and image mapping"
"KH-WC-PEWHITE-300-PE-020","PE Coated White Cardboard","sourceStatus","pending","representative","kh-white-cardboard-family-representative","Confirm sourceStatus and image mapping"
"KH-FD-FOODW-210-RAW-021","Food Grade White Cardboard","sourceStatus","pending","representative","kh-white-cardboard-family-representative","Confirm sourceStatus and image mapping"
"KH-FD-FOODK-120-RAW-022","Food Grade Kraft Paper","sourceStatus","pending","representative","kh-kraft-family-representative","Confirm sourceStatus and image mapping"
"KH-FD-GREASE-040-OIL-023","Greaseproof Paper","sourceStatus","pending","representative","kh-material-family-representative","Confirm sourceStatus and image mapping"
"KH-FD-BURGER-050-PR-024","Burger Wrapping Paper","sourceStatus","pending","representative","kh-material-family-representative","Confirm sourceStatus and image mapping"
"KH-FD-SANDW-060-PR-025","Sandwich Wrapping Paper","sourceStatus","pending","representative","kh-material-family-representative","Confirm sourceStatus and image mapping"
"KH-FD-BAKING-070-OIL-026","Baking Paper","sourceStatus","pending","representative","kh-material-family-representative","Confirm sourceStatus and image mapping"
"KH-FD-CAKEPAD-230-MC-027","Cake Pad Paper","sourceStatus","pending","representative","kh-paper-pad-family-representative","Confirm sourceStatus and image mapping"
"KH-FD-PIZZAP-120-MC-028","Pizza Liner Paper","sourceStatus","pending","representative","kh-corrugated-family-representative","Confirm sourceStatus and image mapping"
"KH-FD-TRAYP-250-PE-029","Food Tray Paper","sourceStatus","pending","representative","kh-paper-insert-family-representative","Confirm sourceStatus and image mapping"
